filename,url,date,asn,country
2021020708_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210207/08/IR/urlgetter/2021020708_IR_urlgetter.n0.0.jsonl.gz,2021-02-07,AS62442,IR
2021020716_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210207/16/IR/urlgetter/2021020716_IR_urlgetter.n0.0.jsonl.gz,2021-02-07,AS62442,IR
2021020717_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210207/17/IR/urlgetter/2021020717_IR_urlgetter.n0.0.jsonl.gz,2021-02-07,AS62442,IR
2021020801_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210208/01/IR/urlgetter/2021020801_IR_urlgetter.n0.0.jsonl.gz,2021-02-08,AS62442,IR
2021020802_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210208/02/IR/urlgetter/2021020802_IR_urlgetter.n0.0.jsonl.gz,2021-02-08,AS62442,IR
2021020810_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210208/10/IR/urlgetter/2021020810_IR_urlgetter.n0.0.jsonl.gz,2021-02-08,AS62442,IR
2021020811_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210208/11/IR/urlgetter/2021020811_IR_urlgetter.n0.0.jsonl.gz,2021-02-08,AS62442,IR
2021020819_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210208/19/IR/urlgetter/2021020819_IR_urlgetter.n0.0.jsonl.gz,2021-02-08,AS62442,IR
2021020820_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210208/20/IR/urlgetter/2021020820_IR_urlgetter.n0.0.jsonl.gz,2021-02-08,AS62442,IR
2021020904_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210209/04/IR/urlgetter/2021020904_IR_urlgetter.n0.0.jsonl.gz,2021-02-09,AS62442,IR
2021020905_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210209/05/IR/urlgetter/2021020905_IR_urlgetter.n0.0.jsonl.gz,2021-02-09,AS62442,IR
2021020914_IR_urlgetter.n0.0.jsonl,s3://ooni-data-eu-fra/raw/20210209/14/IR/urlgetter/2021020914_IR_urlgetter.n0.0.jsonl.gz,2021-02-09,AS62442,IR
